"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2018,2,"SISTEMAS E MÍDIAS DIGITAIS (DIURNO)","PROCESSO SELETIVO ENEM"
2019,1,"MATEMÁTICA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2018,2,"MATEMÁTICA - BACHARELADO","SELEÇÃO SISU"
2018,2,"ESTATÍSTICA","ORDEM JUDICIAL"
2019,1,"FILOSOFIA","SELEÇÃO SISU"
2018,2,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2019,2,"PSICOLOGIA/CCGPSIC - SOBRAL","CONV PEC-G/MUD CURSO"
2019,1,"CIÊNCIAS ECONÔMICAS (DIURNO)","CONV PEC-G/MUD CURSO"
2019,1,"MÚSICA-LICENCIATURA","SELEÇÃO SISU"
2019,1,"LETRAS","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,1,"MATEMÁTICA - BACHARELADO","SELEÇÃO SISU"
2018,2,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (NOTURNO)","SELEÇÃO SISU"
2018,2,"ODONTOLOGIA","SELEÇÃO SISU"
2018,2,"SISTEMAS E MÍDIAS DIGITAIS (DIURNO)","SELEÇÃO SISU"
2018,2,"BIOTECNOLOGIA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS CONTÁBEIS (NOTURNO)","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2018,2,"CIÊNCIAS AMBIENTAIS","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2018,2,"SISTEMAS E MÍDIAS DIGITAIS (DIURNO)","SELEÇÃO SISU"
2018,2,"FISIOTERAPIA","SELEÇÃO SISU"
2018,2,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2018,2,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2019,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2019,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2018,2,"ESTATÍSTICA","SELEÇÃO SISU"
2019,1,"GEOLOGIA","ADMISSAO DE GRADUADO"
2019,1,"FILOSOFIA","MUDANCA DE CURSO"
2019,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"SECRETARIADO EXECUTIVO","TRANSF REGULAR"
2019,1,"SECRETARIADO EXECUTIVO","TRANSF REGULAR"
2019,1,"CIÊNCIAS SOCIAIS (DIURNO)","MUDANCA DE CURSO"
2019,1,"LETRAS","MUDANCA DE CURSO"
2019,1,"FINANÇAS","TRANSF REGULAR"
2019,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,2,"BIBLIOTECONOMIA","MUDANCA DE CURSO"
2019,2,"ENGENHARIA AMBIENTAL","SELEÇÃO SISU"
2019,2,"ENFERMAGEM","SELEÇÃO SISU"
2019,2,"CIÊNCIAS ECONÔMICAS (DIURNO)","MUDANCA DE CURSO"
2019,2,"LETRAS","MUDANCA DE CURSO"
2018,2,"COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2018,2,"LETRAS","SELEÇÃO SISU"
2019,1,"ESTATÍSTICA","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE TELECOMUNICAÇÕES","MUDANCA DE CURSO"
2019,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2019,1,"LETRAS","SELEÇÃO SISU"
2019,1,"LETRAS","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (NOTURNO)","SELEÇÃO SISU"
2019,2,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2018,2,"PEDAGOGIA (NOTURNO)","SELEÇÃO SISU"
2019,2,"BIOTECNOLOGIA","SELEÇÃO SISU"
2019,1,"BIOTECNOLOGIA","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"DESIGN","MUDANCA DE CURSO"
2019,2,"DESIGN - MODA","MUDANCA DE CURSO"
2019,2,"FINANÇAS","SELEÇÃO SISU"
2019,2,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2019,2,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS ECONÔMICAS (DIURNO)","SELEÇÃO SISU"
2019,1,"ENFERMAGEM","SELEÇÃO SISU"
2019,2,"FARMÁCIA","MUDANCA DE CURSO"
2018,2,"FARMÁCIA","SELEÇÃO SISU"
2018,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","SELEÇÃO SISU"
2019,1,"ODONTOLOGIA","SELEÇÃO SISU"
2019,1,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2019,1,"ENGENHARIA MECÂNICA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS CONTÁBEIS (NOTURNO)","SELEÇÃO SISU"
